state,reading_grade8_2019
DoDEA,280
Massachusetts,273
New_Jersey,270
Connecticut,270
Vermont,268
New_Hampshire,268
Utah,267
Wisconsin,267
Colorado,267
Ohio,267
Idaho,266
Washington,266
Indiana,266
Maine,265
Montana,265
Illinois,265
Wyoming,265
Maryland,264
Pennsylvania,264
Nebraska,264
Minnesota,264
Oregon,264
Florida,263
Missouri,263
North_Dakota,263
Kentucky,263
Kansas,263
South_Dakota,263
Michigan,263
North_Carolina,263
Tennessee,262
Georgia,262
Iowa,262
Rhode_Island,262
National_public,262
Virginia,262
New_York,262
Delaware,260
Arizona,259
South_Carolina,259
California,259
Arkansas,259
Oklahoma,258
Hawaii,258
Nevada,258
Louisiana,257
Mississippi,256
Texas,256
West_Virginia,256
Alabama,253
Alaska,252
New_Mexico,252
District_of_Columbia,250
Puerto_Rico,—